input_image_path,serial_numbers_list,output_image_path
C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Screenshot 2024-10-07 144105.jpg,,C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Screenshot 2024-10-07 144105.jpg
C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga7\IMG_0011.HEIC,,C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga7\IMG_0011.HEIC
C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga7\IMG_0107.HEIC,,C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga7\IMG_0107.HEIC
C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga7\PF43RFL1.HEIC,PF43RFL1,C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga7\PF43RFL1.HEIC
C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga8\1_Image (13).jpeg,PF4KCQWZ,C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga8\PF4KCQWZ.jpeg
C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga8\1_IMG_0034.HEIC,PF4KF5M2,C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga8\PF4KF5M2.HEIC
C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga8\1_IMG_0041.HEIC,PF4K7J4V,C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga8\PF4K7J4V.HEIC
C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga8 jpg\21HRS059 + PF4KF4ZD.jpg,PF4KF4ZD,C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga8 jpg\PF4KF4ZD.jpg
C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga8 jpg\21HRS059 + PF4KF5MF + PF4KF7W8.jpg,PF4KF5MF,C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga8 jpg\PF4KF5MF + PF4KF7W8.jpg
C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga8 jpg\21HRS059 + PF4KF5MF + PF4KF7W8.jpg,PF4KF7W8,C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga8 jpg\PF4KF5MF + PF4KF7W8.jpg
C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga8 jpg\21HRS059 + PF4KF5NT + PF4KCRK6.jpg,PF4KCRK6,C:\Users\60119\OneDrive - Bain\Desktop\LaptopSN\Yoga8 jpg\PF4KCRK6.jpg
